track_id;track_name;artist_id;artist_name;album_id;duration;release_date;popularity;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;playlist_id;playlist_name;popularity_rate;PITCH
1lKw5XJROINOn6fnzSBRGO;Scream Out;6xEMoIJbN8zgmMpv6Nzt5Z;The Unseen;6eJ7XyKXMGzjnKVFJDnMmm;171375;2005-05-10;0;447;939;10;-3.688;0;0.12;0.00438;0;236;0.69;101.013;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
4j7naGNzx29YhInirEBgf3;Wake The Dead;67f7GZXNMGRn98lqrtIdrN;Comeback Kid;0spDI0sKjpRkSauy7A5HAS;197226;2005-01-01;0;446;954;1;-4.041;1;0.0477;0.000258;0.0000694;143;354;107.551;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
282lxOgICMphgmmIRMjMAH;Day Like This;6113I12OVuEsTxsPUOnCTW;Time Again;7bd1marTHadAtnqjnTbIyR;120813;2008-02-02;0;406;942;7;-4.741;1;126;3.33E-6;0.00115;794;241;174.923;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
0nv16SEyVZFTprVQyC4azJ;Blood Pressure;3rrJy6HcFnOtLXYrWddmH1;Guy Carmel;1JkkheKE8rEbydKjIzSo6Z;166053;2008-11-01;0;465;951;11;-4.578;0;0.0729;0.000118;0;442;674;170.051;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
6JqsUVLG2JBcfW50VSUlYu;Night Stalker;3rrJy6HcFnOtLXYrWddmH1;Guy Carmel;1JkkheKE8rEbydKjIzSo6Z;208893;2008-11-01;0;436;975;6;-4.147;0;105;0.000106;0;287;359;167.984;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
6fL1ftCQTG9ApnqawBS4K2;Mouse In A Maze;3rrJy6HcFnOtLXYrWddmH1;Guy Carmel;1JkkheKE8rEbydKjIzSo6Z;153000;2008-11-01;0;399;992;1;-3.755;0;105;0.0000945;0;352;465;127.394;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
45ZjRrEFgHJhCQ72qKDeem;Above Me;0HjoyITAvSVktTCjXUa40Q;Rufio;0mKXj9hXclmhvassTP0LCw;191840;2001;41;319;948;5;-4.981;1;0.0658;0.000189;0.000257;65;599;119.213;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;mid-low;0
4WGtfghkWPoH5Gzi238E1k;Philosophy;074c96SFGJ7WfW7ykczDHr;Fenix TX;1mAITc0ctsvRM76qU90upG;137066;1999-07-13;0;278;925;2;-5.084;1;0.0575;0.00034;0.00107;365;478;107.941;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
5ZNZUo9XYGFpax6jXZ0DIf;When Your Heart Stops Beating;7gkRNHOOt7QfhhXf0rEnmj;44;4F77DzCP9YCEKDzNgIOZ7v;192786;2006-01-01;0;417;967;9;-2.289;0;109;0.000367;0;0.0632;431;171.037;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
3G0dKzDGU2jUphIjfbgGuj;Drain the Blood;7MlyHuGRHi31yYlrttDqgT;The Distillers;4SvyM68OkDNAtCzUD0bKbi;189706;2003;38;393;905;0;-4.167;1;0.0912;0.17;9.75E-6;236;414;168.902;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;mid-low;0
2dTi6Y1nadYBfGWGMlxKR5;Sedition;5rWh48V4824rLBdMja6sO8;Strike Anywhere;41H68AjUCTiVaYIc6ciXvp;120746;2006-11-06;0;226;989;9;-3.352;1;111;0.000153;0.00179;352;449;93.842;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
6t8YjnTQwuURAMTN5YhPuX;Infrared;5rWh48V4824rLBdMja6sO8;Strike Anywhere;4PwKQgZ5blWz7LJRoiKNHO;208426;2003-09-22;0;392;965;1;-4.942;0;0.0708;0.0000425;0;318;0.53;148.715;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
7vufJtYhuk6bZ308o1hf9F;Modern Life;5rWh48V4824rLBdMja6sO8;Strike Anywhere;4PwKQgZ5blWz7LJRoiKNHO;175706;2003-09-22;0;324;977;11;-4.851;0;0.09;0.0000916;0;108;0.35;106.634;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
1WSZ6l8KLZ7yxik0XS1Tk1;Lights Go Out;5rWh48V4824rLBdMja6sO8;Strike Anywhere;4PwKQgZ5blWz7LJRoiKNHO;148386;2003-09-22;0;207;959;5;-4.735;0;143;0.000128;0;217;611;197.503;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
4BsMXlsF6oz6bOwbvqtash;Refusal;5rWh48V4824rLBdMja6sO8;Strike Anywhere;3um6i1SulORAITVO5b8D8h;161680;2001-08-06;0;344;934;11;-5.523;0;0.0889;0.0000482;0;297;598;118.887;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
2rZ8pGWAsz3LD4UypvvTMh;Picture This;50D7fKwJKp4T0NfO6v7LDE;98 Mute;1FQHXmiE7mEPoxtJIjDnXP;125480;1999;0;454;986;5;-4.65;1;0.0865;0.0000282;0;0.0504;657;103.777;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
3GvXRGUl6l8FtYsoMZN0Eq;The Game [We Don't Have To Play];1Ay7LBEy8a3ZWgXdJioLa2;Union 13;78HFWMFJB3UtjzeqN4I10d;153706;2000;0;416;984;6;-3.474;0;0.0889;0.000643;0.0000246;244;441;112.888;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
4A5qEgdBudXzsrqRSWwnoX;Never Connected;1Ay7LBEy8a3ZWgXdJioLa2;Union 13;7sDupmToF1A2YeBItWEmmd;121026;1998;0;189;952;7;-6.556;0;118;0.000516;0.00238;188;363;173.21;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
2t2PGfqm5a3KjRbJpbDuW5;I Can't Stand It Anymore;1Ay7LBEy8a3ZWgXdJioLa2;Union 13;0owxETVV7DVWalpEE59d0s;178066;1997;0;357;0.77;1;-6.458;0;0.0409;0.000341;0.000488;166;309;110.208;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
